w1,w2,bigram,count,probability
checked,<UNK>,checked <UNK>,1,0.018518518518518517
be,beat,be beat,5,0.018518518518518517
parking,outside,parking outside,1,0.018518518518518517
though,if,though if,1,0.018518518518518517
be,better,be better,5,0.018518518518518517
though,she,though she,1,0.018518518518518517
parking,per,parking per,1,0.018518518518518517
parking,will,parking will,1,0.018518518518518517
though,and,though and,1,0.018518518518518517
here,at,here at,3,0.018518518518518517
checked,up,checked up,1,0.018518518518518517
checked,on,checked on,1,0.018518518518518517
parking,nearby,parking nearby,1,0.018518518518518517
location,just,location just,4,0.018433179723502304
location,:,location :,4,0.018433179723502304
location,...,location ...,4,0.018433179723502304
location,in,location in,4,0.018433179723502304
by,bed,by bed,3,0.018404907975460124
or,anything,or anything,3,0.018404907975460124
by,this,by this,3,0.018404907975460124
by,name,by name,3,0.018404907975460124
by,my,by my,3,0.018404907975460124
us,(,us (,4,0.01834862385321101
can,",","can ,",2,0.01834862385321101
never,stayed,never stayed,2,0.01834862385321101
first,let,first let,2,0.01834862385321101
never,brought,never brought,2,0.01834862385321101
can,walk,can walk,2,0.01834862385321101
first,and,first and,2,0.01834862385321101
never,received,never received,2,0.01834862385321101
never,experienced,never experienced,2,0.01834862385321101
never,came,never came,2,0.01834862385321101
can,barely,can barely,2,0.01834862385321101
chicago,was,chicago was,6,0.01834862385321101
us,by,us by,4,0.01834862385321101
can,you,can you,2,0.01834862385321101
can,expect,can expect,2,0.01834862385321101
never,greeted,never greeted,2,0.01834862385321101
chicago,hilton,chicago hilton,6,0.01834862385321101
never,felt,never felt,2,0.01834862385321101
can,tell,can tell,2,0.01834862385321101
first,choice,first choice,2,0.01834862385321101
never,paid,never paid,2,0.01834862385321101
never,seen,never seen,2,0.01834862385321101
first,off,first off,2,0.01834862385321101
never,was,never was,2,0.01834862385321101
can,find,can find,2,0.01834862385321101
us,when,us when,4,0.01834862385321101
can,request,can request,2,0.01834862385321101
can,say,can say,2,0.01834862385321101
first,.,first .,2,0.01834862385321101
can,easily,can easily,2,0.01834862385321101
never,got,never got,2,0.01834862385321101
us,feel,us feel,4,0.01834862385321101
first,the,first the,2,0.01834862385321101
the,front,the front,97,0.018319169027384324
room,for,room for,17,0.018318965517241378
room,that,room that,17,0.018318965517241378
room,in,room in,17,0.018318965517241378
in,our,in our,23,0.018268467037331215
really,disappointed,really disappointed,2,0.01818181818181818
where,our,where our,1,0.01818181818181818
came,home,came home,1,0.01818181818181818
their,rooms,their rooms,2,0.01818181818181818
internet,?,internet ?,1,0.01818181818181818
their,fault,their fault,2,0.01818181818181818
came,here,came here,1,0.01818181818181818
go,above,go above,2,0.01818181818181818
work,shoes,work shoes,1,0.01818181818181818
where,is,where is,1,0.01818181818181818
internet,worked,internet worked,1,0.01818181818181818
came,by,came by,1,0.01818181818181818
really,",","really ,",2,0.01818181818181818
work,desk,work desk,1,0.01818181818181818
've,heard,'ve heard,1,0.01818181818181818
where,wifi,where wifi,1,0.01818181818181818
their,reviews,their reviews,2,0.01818181818181818
internet,and,internet and,1,0.01818181818181818
go,in,go in,2,0.01818181818181818
've,traveled,'ve traveled,1,0.01818181818181818
came,over,came over,1,0.01818181818181818
where,anything,where anything,1,0.01818181818181818
work,space,work space,1,0.01818181818181818
really,liked,really liked,2,0.01818181818181818
've,won,'ve won,1,0.01818181818181818
came,at,came at,1,0.01818181818181818
've,required,'ve required,1,0.01818181818181818
where,boarding,where boarding,1,0.01818181818181818
work,(,work (,1,0.01818181818181818
came,.,came .,1,0.01818181818181818
came,we,came we,1,0.01818181818181818
came,off,came off,1,0.01818181818181818
go,there,go there,2,0.01818181818181818
came,after,came after,1,0.01818181818181818
internet,went,internet went,1,0.01818181818181818
internet,these,internet these,1,0.01818181818181818
've,added,'ve added,1,0.01818181818181818
work,with,work with,1,0.01818181818181818
internet,to,internet to,1,0.01818181818181818
came,along,came along,1,0.01818181818181818
've,just,'ve just,1,0.01818181818181818
where,else,where else,1,0.01818181818181818
where,things,where things,1,0.01818181818181818
really,are,really are,2,0.01818181818181818
work,opposite,work opposite,1,0.01818181818181818
where,immediately,where immediately,1,0.01818181818181818
where,do,where do,1,0.01818181818181818
work,out,work out,1,0.01818181818181818
've,attached,'ve attached,1,0.01818181818181818
really,excited,really excited,2,0.01818181818181818
've,decided,'ve decided,1,0.01818181818181818
've,experienced,'ve experienced,1,0.01818181818181818
where,its,where its,1,0.01818181818181818
where,.,where .,1,0.01818181818181818
internet,through,internet through,1,0.01818181818181818
really,?,really ?,2,0.01818181818181818
internet,that,internet that,1,0.01818181818181818
work,where,work where,1,0.01818181818181818
their,stay,their stay,2,0.01818181818181818
where,as,where as,1,0.01818181818181818
where,their,where their,1,0.01818181818181818
go,downstairs,go downstairs,2,0.01818181818181818
really,helpful,really helpful,2,0.01818181818181818
work,again,work again,1,0.01818181818181818
where,in,where in,1,0.01818181818181818
've,noticed,'ve noticed,1,0.01818181818181818
came,until,came until,1,0.01818181818181818
came,nowhere,came nowhere,1,0.01818181818181818
internet,which,internet which,1,0.01818181818181818
work,for,work for,1,0.01818181818181818
came,from,came from,1,0.01818181818181818
've,always,'ve always,1,0.01818181818181818
've,done,'ve done,1,0.01818181818181818
've,already,'ve already,1,0.01818181818181818
where,ever,where ever,1,0.01818181818181818
where,comfortable,where comfortable,1,0.01818181818181818
really,great,really great,2,0.01818181818181818
really,!,really !,2,0.01818181818181818
work,are,work are,1,0.01818181818181818
really,has,really has,2,0.01818181818181818
where,my,where my,1,0.01818181818181818
work,to,work to,1,0.01818181818181818
really,went,really went,2,0.01818181818181818
've,encountered,'ve encountered,1,0.01818181818181818
really,impressed,really impressed,2,0.01818181818181818
internet,-,internet -,1,0.01818181818181818
work,all,work all,1,0.01818181818181818
've,made,'ve made,1,0.01818181818181818
work,done,work done,1,0.01818181818181818
go,figure,go figure,2,0.01818181818181818
've,since,'ve since,1,0.01818181818181818
came,on,came on,1,0.01818181818181818
go,into,go into,2,0.01818181818181818
their,mistake,their mistake,2,0.01818181818181818
work,-,work -,1,0.01818181818181818
work,properly,work properly,1,0.01818181818181818
've,used,'ve used,1,0.01818181818181818
've,given,'ve given,1,0.01818181818181818
where,there,where there,1,0.01818181818181818
their,beds,their beds,2,0.01818181818181818
go,somewhere,go somewhere,2,0.01818181818181818
their,hotels,their hotels,2,0.01818181818181818
work,well,work well,1,0.01818181818181818
internet,services,internet services,1,0.01818181818181818
<UNK>,for,<UNK> for,109,0.018022486772486773
:,when,: when,2,0.018018018018018018
small,elevators,small elevators,2,0.018018018018018018
small,for,small for,2,0.018018018018018018
:,-,: -,2,0.018018018018018018
small,compared,small compared,2,0.018018018018018018
small,rooms,small rooms,2,0.018018018018018018
small,table,small table,2,0.018018018018018018
small,-,small -,2,0.018018018018018018
small,side,small side,2,0.018018018018018018
small,i,small i,2,0.018018018018018018
small,problem,small problem,2,0.018018018018018018
:,location,: location,2,0.018018018018018018
:,room,: room,2,0.018018018018018018
:,it,: it,2,0.018018018018018018
:,oh,: oh,2,0.018018018018018018
:,nice,: nice,2,0.018018018018018018
:,yes,: yes,2,0.018018018018018018
all,my,all my,5,0.017985611510791366
",",they,", they",53,0.01797219396405561
",",which,", which",53,0.01797219396405561
an,added,an added,4,0.017937219730941704
an,``,an ``,4,0.017937219730941704
an,elevator,an elevator,4,0.017937219730941704
an,amazing,an amazing,4,0.017937219730941704
away,half,away half,1,0.017857142857142856
been,looking,been looking,2,0.017857142857142856
away,on,away on,1,0.017857142857142856
away,but,away but,1,0.017857142857142856
shopping,for,shopping for,1,0.017857142857142856
shopping,along,shopping along,1,0.017857142857142856
shopping,area,shopping area,1,0.017857142857142856
away,and,away and,1,0.017857142857142856
do,anything,do anything,3,0.017857142857142856
shopping,streets,shopping streets,1,0.017857142857142856
away,as,away as,1,0.017857142857142856
away,opposite,away opposite,1,0.017857142857142856
so,it,so it,5,0.017857142857142856
do,this,do this,3,0.017857142857142856
do,with,do with,3,0.017857142857142856
shopping,<UNK>,shopping <UNK>,1,0.017857142857142856
do,it,do it,3,0.017857142857142856
been,on,been on,2,0.017857142857142856
shopping,at,shopping at,1,0.017857142857142856
shopping,...,shopping ...,1,0.017857142857142856
do,much,do much,3,0.017857142857142856
shopping,is,shopping is,1,0.017857142857142856
away,with,away with,1,0.017857142857142856
shopping,areas,shopping areas,1,0.017857142857142856
shopping,with,shopping with,1,0.017857142857142856
away,i,away i,1,0.017857142857142856
away,...,away ...,1,0.017857142857142856
shopping,on,shopping on,1,0.017857142857142856
shopping,/,shopping /,1,0.017857142857142856
so,there,so there,5,0.017857142857142856
away,which,away which,1,0.017857142857142856
away,part,away part,1,0.017857142857142856
n't,need,n't need,6,0.017857142857142856
shopping,or,shopping or,1,0.017857142857142856
away,!,away !,1,0.017857142857142856
been,recently,been recently,2,0.017857142857142856
away,to,away to,1,0.017857142857142856
do,you,do you,3,0.017857142857142856
been,charged,been charged,2,0.017857142857142856
do,i,do i,3,0.017857142857142856
shopping,in,shopping in,1,0.017857142857142856
``,room,`` room,3,0.01775147928994083
``,night,`` night,3,0.01775147928994083
``,the,`` the,3,0.01775147928994083
``,<num>,`` <num>,3,0.01775147928994083
``,we,`` we,3,0.01775147928994083
<num>,night,<num> night,12,0.017699115044247787
comfortable,but,comfortable but,2,0.017699115044247787
comfortable,--,comfortable --,2,0.017699115044247787
comfortable,that,comfortable that,2,0.017699115044247787
comfortable,furniture,comfortable furniture,2,0.017699115044247787
comfortable,-,comfortable -,2,0.017699115044247787
comfortable,in,comfortable in,2,0.017699115044247787
'',hotel,'' hotel,3,0.01764705882352941
'',of,'' of,3,0.01764705882352941
'',to,'' to,3,0.01764705882352941
'',that,'' that,3,0.01764705882352941
'',people,'' people,3,0.01764705882352941
way,more,way more,1,0.017543859649122806
;,free,; free,1,0.017543859649122806
old,mother,old mother,1,0.017543859649122806
old,took,old took,1,0.017543859649122806
find,",","find ,",1,0.017543859649122806
old,city,old city,1,0.017543859649122806
trip,we,trip we,1,0.017543859649122806
;,large,; large,1,0.017543859649122806
shower,),shower ),1,0.017543859649122806
find,fault,find fault,1,0.017543859649122806
shower,(,shower (,1,0.017543859649122806
;,there,; there,1,0.017543859649122806
old,wallpaper,old wallpaper,1,0.017543859649122806
phone,with,phone with,1,0.017543859649122806
shower,pressure,shower pressure,1,0.017543859649122806
old,classic,old classic,1,0.017543859649122806
trip,where,trip where,1,0.017543859649122806
shower,to,shower to,1,0.017543859649122806
shower,should,shower should,1,0.017543859649122806
way,around,way around,1,0.017543859649122806
find,anywhere,find anywhere,1,0.017543859649122806
find,!,find !,1,0.017543859649122806
for,it,for it,18,0.017543859649122806
shower,or,shower or,1,0.017543859649122806
;,two,; two,1,0.017543859649122806
trip,may,trip may,1,0.017543859649122806
way,above,way above,1,0.017543859649122806
phone,had,phone had,1,0.017543859649122806
old,tub,old tub,1,0.017543859649122806
find,this,find this,1,0.017543859649122806
phone,<UNK>,phone <UNK>,1,0.017543859649122806
old,days,old days,1,0.017543859649122806
;,good,; good,1,0.017543859649122806
shower,it,shower it,1,0.017543859649122806
way,down,way down,1,0.017543859649122806
shower,door,shower door,1,0.017543859649122806
phone,would,phone would,1,0.017543859649122806
;,bedroom,; bedroom,1,0.017543859649122806
;,from,; from,1,0.017543859649122806
;,you,; you,1,0.017543859649122806
trip,home,trip home,1,0.017543859649122806
find,just,find just,1,0.017543859649122806
for,two,for two,18,0.017543859649122806
way,so,way so,1,0.017543859649122806
old,could,old could,1,0.017543859649122806
old,arrived,old arrived,1,0.017543859649122806
;,stale,; stale,1,0.017543859649122806
phone,just,phone just,1,0.017543859649122806
phone,you,phone you,1,0.017543859649122806
find,at,find at,1,0.017543859649122806
way,here,way here,1,0.017543859649122806
trip,started,trip started,1,0.017543859649122806
find,another,find another,1,0.017543859649122806
trip,with,trip with,1,0.017543859649122806
way,just,way just,1,0.017543859649122806
phone,to,phone to,1,0.017543859649122806
trip,so,trip so,1,0.017543859649122806
shower,water,shower water,1,0.017543859649122806
find,on,find on,1,0.017543859649122806
;,after,; after,1,0.017543859649122806
shower,actually,shower actually,1,0.017543859649122806
trip,in,trip in,1,0.017543859649122806
find,no,find no,1,0.017543859649122806
;,comfortable,; comfortable,1,0.017543859649122806
trip,makes,trip makes,1,0.017543859649122806
find,any,find any,1,0.017543859649122806
trip,!,trip !,1,0.017543859649122806
phone,staff,phone staff,1,0.017543859649122806
shower,--,shower --,1,0.017543859649122806
;,nobody,; nobody,1,0.017543859649122806
old,smoke,old smoke,1,0.017543859649122806
trip,very,trip very,1,0.017543859649122806
;,and,; and,1,0.017543859649122806
;,just,; just,1,0.017543859649122806
old,toilet,old toilet,1,0.017543859649122806
old,sink,old sink,1,0.017543859649122806
shower,my,shower my,1,0.017543859649122806
phone,the,phone the,1,0.017543859649122806
old,in,old in,1,0.017543859649122806
find,in,find in,1,0.017543859649122806
;,she,; she,1,0.017543859649122806
;,all,; all,1,0.017543859649122806
old,carpets,old carpets,1,0.017543859649122806
way,into,way into,1,0.017543859649122806
phone,trying,phone trying,1,0.017543859649122806
;,sofitel,; sofitel,1,0.017543859649122806
shower,had,shower had,1,0.017543859649122806
trip,there,trip there,1,0.017543859649122806
;,had,; had,1,0.017543859649122806
find,us,find us,1,0.017543859649122806
;,lots,; lots,1,0.017543859649122806
way,overpriced,way overpriced,1,0.017543859649122806
find,its,find its,1,0.017543859649122806
way,that,way that,1,0.017543859649122806
phone,told,phone told,1,0.017543859649122806
find,-,find -,1,0.017543859649122806
old,refrigerator,old refrigerator,1,0.017543859649122806
;,only,; only,1,0.017543859649122806
;,instead,; instead,1,0.017543859649122806
one,block,one block,4,0.017543859649122806
way,the,way the,1,0.017543859649122806
find,something,find something,1,0.017543859649122806
;,yes,; yes,1,0.017543859649122806
trip,and,trip and,1,0.017543859649122806
shower,did,shower did,1,0.017543859649122806
phone,book,phone book,1,0.017543859649122806
way,her,way her,1,0.017543859649122806
old,poor,old poor,1,0.017543859649122806
;,),; ),1,0.017543859649122806
phone,system,phone system,1,0.017543859649122806
;,broken,; broken,1,0.017543859649122806
old,building,old building,1,0.017543859649122806
trip,into,trip into,1,0.017543859649122806
phone,there,phone there,1,0.017543859649122806
way,beyond,way beyond,1,0.017543859649122806
;,because,; because,1,0.017543859649122806
old,apartment,old apartment,1,0.017543859649122806
find,someone,find someone,1,0.017543859649122806
find,was,find was,1,0.017543859649122806
;,worn,; worn,1,0.017543859649122806
phone,(,phone (,1,0.017543859649122806
phone,while,phone while,1,0.017543859649122806
bed,to,bed to,3,0.017341040462427744
bed,bug,bed bug,3,0.017341040462427744
bed,(,bed (,3,0.017341040462427744
were,on,were on,10,0.01730103806228374
were,in,were in,10,0.01730103806228374
are,great,are great,6,0.01729106628242075
our,car,our car,8,0.017278617710583154
our,wedding,our wedding,8,0.017278617710583154
our,next,our next,8,0.017278617710583154
that,.,that .,12,0.017266187050359712
room,is,room is,16,0.017241379310344827
day,off,day off,2,0.017241379310344827
staying,longer,staying longer,1,0.017241379310344827
day,was,day was,2,0.017241379310344827
stay,and,stay and,7,0.017241379310344827
staying,one,staying one,1,0.017241379310344827
staying,that,staying that,1,0.017241379310344827
day,for,day for,2,0.017241379310344827
not,work,not work,11,0.017241379310344827
staying,with,staying with,1,0.017241379310344827
staying,somewhere,staying somewhere,1,0.017241379310344827
day,),day ),2,0.017241379310344827
day,on,day on,2,0.017241379310344827
day,i,day i,2,0.017241379310344827
staying,<num>,staying <num>,1,0.017241379310344827
stayed,<num>,stayed <num>,4,0.017241379310344827
day,'',day '',2,0.017241379310344827
staying,on,staying on,1,0.017241379310344827
on,.,on .,11,0.0171875
on,this,on this,11,0.0171875
on,business,on business,11,0.0171875
on,it,on it,11,0.0171875
which,has,which has,3,0.017045454545454544
which,makes,which makes,3,0.017045454545454544
will,find,will find,3,0.017045454545454544
great,views,great views,6,0.017045454545454544
will,definately,will definately,3,0.017045454545454544
will,work,will work,3,0.017045454545454544
will,start,will start,3,0.017045454545454544
great,!,great !,6,0.017045454545454544
will,return,will return,3,0.017045454545454544
great,restaurants,great restaurants,6,0.017045454545454544
which,are,which are,3,0.017045454545454544
will,try,will try,3,0.017045454545454544
great,stay,great stay,6,0.017045454545454544
will,get,will get,3,0.017045454545454544
and,they,and they,44,0.016968762051677595
was,in,was in,31,0.016958424507658644
food,there,food there,1,0.01694915254237288
food,(,food (,1,0.01694915254237288
every,one,every one,1,0.01694915254237288
food,:,food :,1,0.01694915254237288
every,min,every min,1,0.01694915254237288
food,chicago,food chicago,1,0.01694915254237288
food,for,food for,1,0.01694915254237288
food,than,food than,1,0.01694915254237288
could,walk,could walk,3,0.01694915254237288
food,to,food to,1,0.01694915254237288
could,possibly,could possibly,3,0.01694915254237288
every,staff,every staff,1,0.01694915254237288
every,member,every member,1,0.01694915254237288
food,items,food items,1,0.01694915254237288
every,year,every year,1,0.01694915254237288
food,&,food &,1,0.01694915254237288
could,barely,could barely,3,0.01694915254237288
food,when,food when,1,0.01694915254237288
could,find,could find,3,0.01694915254237288
food,on,food on,1,0.01694915254237288
food,in,food in,1,0.01694915254237288
food,mediocre,food mediocre,1,0.01694915254237288
every,kind,every kind,1,0.01694915254237288
every,trip,every trip,1,0.01694915254237288
food,or,food or,1,0.01694915254237288
every,december,every december,1,0.01694915254237288
a,little,a little,38,0.016918967052537846
nice,with,nice with,3,0.016853932584269662
it,has,it has,15,0.016853932584269662
nice,place,nice place,3,0.016853932584269662
the,rooms,the rooms,89,0.016808309726156753
there,'s,there 's,6,0.016713091922005572
there,and,there and,6,0.016713091922005572
get,some,get some,3,0.016666666666666666
who,then,who then,1,0.016666666666666666
about,<num>-<num>,about <num>-<num>,3,0.016666666666666666
about,<UNK>,about <UNK>,3,0.016666666666666666
get,our,get our,3,0.016666666666666666
who,made,who made,1,0.016666666666666666
who,stayed,who stayed,1,0.016666666666666666
who,sent,who sent,1,0.016666666666666666
who,asked,who asked,1,0.016666666666666666
who,plan,who plan,1,0.016666666666666666
about,our,about our,3,0.016666666666666666
who,shared,who shared,1,0.016666666666666666
who,chose,who chose,1,0.016666666666666666
who,suggested,who suggested,1,0.016666666666666666
with,me,with me,10,0.016666666666666666
who,charges,who charges,1,0.016666666666666666
who,came,who came,1,0.016666666666666666
who,help,who help,1,0.016666666666666666
who,they,who they,1,0.016666666666666666
with,an,with an,10,0.016666666666666666
get,my,get my,3,0.016666666666666666
get,what,get what,3,0.016666666666666666
who,found,who found,1,0.016666666666666666
who,are,who are,1,0.016666666666666666
who,do,who do,1,0.016666666666666666
who,did,who did,1,0.016666666666666666
get,there,get there,3,0.016666666666666666
who,seemed,who seemed,1,0.016666666666666666
who,helped,who helped,1,0.016666666666666666
who,went,who went,1,0.016666666666666666
who,have,who have,1,0.016666666666666666
who,stated,who stated,1,0.016666666666666666
get,an,get an,3,0.016666666666666666
who,this,who this,1,0.016666666666666666
who,answered,who answered,1,0.016666666666666666
who,gave,who gave,1,0.016666666666666666
who,he,who he,1,0.016666666666666666
who,need,who need,1,0.016666666666666666
who,at,who at,1,0.016666666666666666
is,no,is no,14,0.016646848989298454
for,this,for this,17,0.016569200779727095
but,you,but you,8,0.016563146997929608
but,that,but that,8,0.016563146997929608
what,'s,what 's,2,0.01652892561983471
what,happened,what happened,2,0.01652892561983471
what,customer,what customer,2,0.01652892561983471
what,?,what ?,2,0.01652892561983471
would,i,would i,6,0.01652892561983471
what,do,what do,2,0.01652892561983471
what,they,what they,2,0.01652892561983471
up,a,up a,3,0.016483516483516484
up,our,up our,3,0.016483516483516484
up,my,up my,3,0.016483516483516484
a,few,a few,37,0.01647373107747106
hotel,with,hotel with,17,0.016456921587608905
from,room,from room,6,0.01643835616438356
from,other,from other,6,0.01643835616438356
excellent,restaurants,excellent restaurants,1,0.01639344262295082
wonderful,reviews,wonderful reviews,1,0.01639344262295082
street,better,street better,1,0.01639344262295082
wonderful,with,wonderful with,1,0.01639344262295082
excellent,(,excellent (,1,0.01639344262295082
street,one,street one,1,0.01639344262295082
said,deal,said deal,1,0.01639344262295082
got,this,got this,2,0.01639344262295082
excellent,hotels,excellent hotels,1,0.01639344262295082
said,he,said he,1,0.01639344262295082
wonderful,night,wonderful night,1,0.01639344262295082
said,thanks,said thanks,1,0.01639344262295082
wonderful,staff,wonderful staff,1,0.01639344262295082
street,while,street while,1,0.01639344262295082
excellent,quality,excellent quality,1,0.01639344262295082
excellent,too,excellent too,1,0.01639344262295082
said,of,said of,1,0.01639344262295082
said,give,said give,1,0.01639344262295082
said,my,said my,1,0.01639344262295082
said,non-smoking,said non-smoking,1,0.01639344262295082
wonderful,as,wonderful as,1,0.01639344262295082
wonderful,service,wonderful service,1,0.01639344262295082
said,was,said was,1,0.01639344262295082
excellent,so,excellent so,1,0.01639344262295082
said,she,said she,1,0.01639344262295082
excellent,...,excellent ...,1,0.01639344262295082
excellent,as,excellent as,1,0.01639344262295082
street,to,street to,1,0.01639344262295082
wonderful,breakfast,wonderful breakfast,1,0.01639344262295082
street,below,street below,1,0.01639344262295082
street,on,street on,1,0.01639344262295082
said,no,said no,1,0.01639344262295082
excellent,weekend,excellent weekend,1,0.01639344262295082
excellent,value,excellent value,1,0.01639344262295082
street,in,street in,1,0.01639344262295082
excellent,from,excellent from,1,0.01639344262295082
street,limited,street limited,1,0.01639344262295082
street,with,street with,1,0.01639344262295082
got,no,got no,2,0.01639344262295082
street,-,street -,1,0.01639344262295082
wonderful,dinner,wonderful dinner,1,0.01639344262295082
street,toward,street toward,1,0.01639344262295082
wonderful,room,wonderful room,1,0.01639344262295082
street,are,street are,1,0.01639344262295082
said,),said ),1,0.01639344262295082
said,two,said two,1,0.01639344262295082
said,-,said -,1,0.01639344262295082
street,near,street near,1,0.01639344262295082
said,yes,said yes,1,0.01639344262295082
said,we,said we,1,0.01639344262295082
street,directly,street directly,1,0.01639344262295082
said,our,said our,1,0.01639344262295082
wonderful,day,wonderful day,1,0.01639344262295082
got,an,got an,2,0.01639344262295082
wonderful,experiences,wonderful experiences,1,0.01639344262295082
excellent,transportation,excellent transportation,1,0.01639344262295082
street,from,street from,1,0.01639344262295082
wonderful,food,wonderful food,1,0.01639344262295082
got,stuck,got stuck,2,0.01639344262295082
got,it,got it,2,0.01639344262295082
as,is,as is,5,0.016286644951140065
as,an,as an,5,0.016286644951140065
as,there,as there,5,0.016286644951140065
",",so,", so",48,0.01627670396744659
lobby,bar,lobby bar,2,0.016260162601626018
me,with,me with,4,0.016260162601626018
lobby,...,lobby ...,2,0.016260162601626018
lobby,with,lobby with,2,0.016260162601626018
lobby,every,lobby every,2,0.016260162601626018
me,$,me $,4,0.016260162601626018
<num>,to,<num> to,11,0.016224188790560472
of,chicago,of chicago,17,0.016205910390848427
another,(,another (,1,0.016129032258064516
another,of,another of,1,0.016129032258064516
its,wonderful,its wonderful,1,0.016129032258064516
another,",","another ,",1,0.016129032258064516
its,done,its done,1,0.016129032258064516
say,...,say ...,1,0.016129032258064516
say,a,say a,1,0.016129032258064516
another,bath,another bath,1,0.016129032258064516
another,flat,another flat,1,0.016129032258064516
another,as,another as,1,0.016129032258064516
its,customers,its customers,1,0.016129032258064516
another,day,another day,1,0.016129032258064516
another,charge,another charge,1,0.016129032258064516
say,friendly,say friendly,1,0.016129032258064516
its,track,its track,1,0.016129032258064516
another,look,another look,1,0.016129032258064516
its,standards,its standards,1,0.016129032258064516
its,$,its $,1,0.016129032258064516
another,iron,another iron,1,0.016129032258064516
its,why,its why,1,0.016129032258064516
its,doors,its doors,1,0.016129032258064516
its,cheaper,its cheaper,1,0.016129032258064516
its,amazing,its amazing,1,0.016129032258064516
say,was,say was,1,0.016129032258064516
its,great,its great,1,0.016129032258064516
its,all,its all,1,0.016129032258064516
its,online,its online,1,0.016129032258064516
another,hour,another hour,1,0.016129032258064516
say,stay,say stay,1,0.016129032258064516
another,wonderful,another wonderful,1,0.016129032258064516
its,relatively,its relatively,1,0.016129032258064516
another,thing,another thing,1,0.016129032258064516
its,also,its also,1,0.016129032258064516
say,these,say these,1,0.016129032258064516
its,called,its called,1,0.016129032258064516
say,!,say !,1,0.016129032258064516
another,downtown,another downtown,1,0.016129032258064516
say,hi,say hi,1,0.016129032258064516
its,write,its write,1,0.016129032258064516
its,<num>.<num>,its <num>.<num>,1,0.016129032258064516
another,try,another try,1,0.016129032258064516
its,plenty,its plenty,1,0.016129032258064516
its,use,its use,1,0.016129032258064516
another,``,another ``,1,0.016129032258064516
say,more,say more,1,0.016129032258064516
its,total,its total,1,0.016129032258064516
its,last,its last,1,0.016129032258064516
its,only,its only,1,0.016129032258064516
its,at,its at,1,0.016129032258064516
say,after,say after,1,0.016129032258064516
say,no,say no,1,0.016129032258064516
another,stay,another stay,1,0.016129032258064516
its,ambiance,its ambiance,1,0.016129032258064516
say,enough,say enough,1,0.016129032258064516
its,class,its class,1,0.016129032258064516
another,trip,another trip,1,0.016129032258064516
say,there,say there,1,0.016129032258064516
another,intercontinental,another intercontinental,1,0.016129032258064516
another,.,another .,1,0.016129032258064516
the,lobby,the lobby,85,0.016052880075542966
a,good,a good,36,0.016028495102404273
have,no,have no,7,0.016018306636155607
have,an,have an,7,0.016018306636155607
has,gone,has gone,2,0.016
front,entrance,front entrance,2,0.016
has,fallen,has fallen,2,0.016
has,an,has an,2,0.016
has,lost,has lost,2,0.016
has,not,has not,2,0.016
has,n't,has n't,2,0.016
front,",","front ,",2,0.016
has,something,has something,2,0.016
has,two,has two,2,0.016
has,all,has all,2,0.016
has,always,has always,2,0.016
has,no,has no,2,0.016
has,the,has the,2,0.016
.,when,. when,75,0.0159846547314578
being,provided,being provided,1,0.015873015873015872
call,this,call this,1,0.015873015873015872
arrived,tired,arrived tired,1,0.015873015873015872
suite,so,suite so,1,0.015873015873015872
call,on,call on,1,0.015873015873015872
arrived,literally,arrived literally,1,0.015873015873015872
being,old,being old,1,0.015873015873015872
call,she,call she,1,0.015873015873015872
call,corporate,call corporate,1,0.015873015873015872
right,hotel,right hotel,1,0.015873015873015872
found,my,found my,1,0.015873015873015872
suite,and,suite and,1,0.015873015873015872
call,front,call front,1,0.015873015873015872
suite,available,suite available,1,0.015873015873015872
being,open,being open,1,0.015873015873015872
found,department,found department,1,0.015873015873015872
arrived,from,arrived from,1,0.015873015873015872
call,i,call i,1,0.015873015873015872
call,several,call several,1,0.015873015873015872
right,key,right key,1,0.015873015873015872
arrived,there,arrived there,1,0.015873015873015872
right,over,right over,1,0.015873015873015872
being,",","being ,",1,0.015873015873015872
right,choice,right choice,1,0.015873015873015872
coffee,when,coffee when,1,0.015873015873015872
suite,hotels,suite hotels,1,0.015873015873015872
right,...,right ...,1,0.015873015873015872
found,empty,found empty,1,0.015873015873015872
arrived,(,arrived (,1,0.015873015873015872
coffee,;,coffee ;,1,0.015873015873015872
right,",","right ,",1,0.015873015873015872
call,us,call us,1,0.015873015873015872
arrived,around,arrived around,1,0.015873015873015872
suite,from,suite from,1,0.015873015873015872
being,gone,being gone,1,0.015873015873015872
found,only,found only,1,0.015873015873015872
call,security,call security,1,0.015873015873015872
found,me,found me,1,0.015873015873015872
being,able,being able,1,0.015873015873015872
being,said,being said,1,0.015873015873015872
right,!,right !,1,0.015873015873015872
found,really,found really,1,0.015873015873015872
being,upgraded,being upgraded,1,0.015873015873015872
found,dirt,found dirt,1,0.015873015873015872
arrived,via,arrived via,1,0.015873015873015872
arrived,early,arrived early,1,0.015873015873015872
arrived,very,arrived very,1,0.015873015873015872
being,much,being much,1,0.015873015873015872
found,in,found in,1,0.015873015873015872
being,that,being that,1,0.015873015873015872
right,place,right place,1,0.015873015873015872
suite,'',suite '',1,0.015873015873015872
coffee,provided,coffee provided,1,0.015873015873015872
being,earlier,being earlier,1,0.015873015873015872
call,until,call until,1,0.015873015873015872
